code_3,country_name,official_name,common_name,latlong
ABW,Aruba,,,"12.52111,-69.968338"
AFG,Afghanistan,Islamic Republic of Afghanistan,,"33.93911,67.709953"
AGO,Angola,Republic of Angola,,"-11.202692,17.873887"
AIA,Anguilla,,,"18.220554,-63.068615"
ALA,Åland Islands,,,"60.1785247,19.9156105"
ALB,Albania,Republic of Albania,,"41.153332,20.168331"
AND,Andorra,Principality of Andorra,,"42.546245,1.601554"
ANT,Netherlands Antilles,,,"12.226079,-69.060087"
ARE,United Arab Emirates,,,"23.424076,53.847818"
ARG,Argentina,Argentine Republic,,"-38.416097,-63.616672"
ARM,Armenia,Republic of Armenia,,"40.069099,45.038189"
ASM,American Samoa,,,"-14.270972,-170.132217"
ATA,Antarctica,,,"-75.250973,-0.071389"
ATF,French Southern Territories,,,"-49.280366,69.348557"
ATG,Antigua and Barbuda,,,"17.060816,-61.796428"
AUS,Australia,,,"-25.274398,133.775136"
AUT,Austria,Republic of Austria,,"47.516231,14.550072"
AZE,Azerbaijan,Republic of Azerbaijan,,"40.143105,47.576927"
BDI,Burundi,Republic of Burundi,,"-3.373056,29.918886"
BEL,Belgium,Kingdom of Belgium,,"50.503887,4.469936"
BEN,Benin,Republic of Benin,,"9.30769,2.315834"
BES,"Bonaire, Sint Eustatius and Saba",,,"12.15,-68.26667"
BFA,Burkina Faso,,,"12.238333,-1.561593"
BGD,Bangladesh,People's Republic of Bangladesh,,"23.684994,90.356331"
BGR,Bulgaria,Republic of Bulgaria,,"42.733883,25.48583"
BHR,Bahrain,Kingdom of Bahrain,,"25.930414,50.637772"
BHS,Bahamas,Commonwealth of the Bahamas,,"25.03428,-77.39628"
BIH,Bosnia and Herzegovina,Republic of Bosnia and Herzegovina,,"43.915886,17.679076"
BLM,Saint Barthélemy,,,"17.9,-62.8333"
BLR,Belarus,Republic of Belarus,,"53.709807,27.953389"
BLZ,Belize,,,"17.189877,-88.49765"
BMU,Bermuda,,,"32.321384,-64.75737"
BOL,"Bolivia, Plurinational State of",Plurinational State of Bolivia,Bolivia,"-16.290154,-63.588653"
BRA,Brazil,Federative Republic of Brazil,,"-14.235004,-51.92528"
BRB,Barbados,,,"13.193887,-59.543198"
BRN,Brunei Darussalam,,,"4.535277,114.727669"
BTN,Bhutan,Kingdom of Bhutan,,"27.514162,90.433601"
BVT,Bouvet Island,,,"-54.423199,3.413194"
BWA,Botswana,Republic of Botswana,,"-22.328474,24.684866"
CAF,Central African Republic,,,"6.611111,20.939444"
CAN,Canada,,,"56.130366,-106.346771"
CCK,Cocos (Keeling) Islands,,,"-12.164165,96.870956"
CHE,Switzerland,Swiss Confederation,,"46.818188,8.227512"
CHL,Chile,Republic of Chile,,"-35.675147,-71.542969"
CHN,China,People's Republic of China,,"35.86166,104.195397"
CIV,Côte d'Ivoire,Republic of Côte d'Ivoire,,"7.539989,-5.54708"
CMR,Cameroon,Republic of Cameroon,,"7.369722,12.354722"
COD,"Congo, The Democratic Republic of the",,,"-4.038333,21.758664"
COG,Congo,Republic of the Congo,,"-0.228021,15.827659"
COK,Cook Islands,,,"-21.236736,-159.777671"
COL,Colombia,Republic of Colombia,,"4.570868,-74.297333"
COM,Comoros,Union of the Comoros,,"-11.875001,43.872219"
CPV,Cabo Verde,Republic of Cabo Verde,,"16.002082,-24.013197"
CRI,Costa Rica,Republic of Costa Rica,,"9.748917,-83.753428"
CUB,Cuba,Republic of Cuba,,"21.521757,-77.781167"
CUW,Curaçao,,,"12.1696,-68.99"
CXR,Christmas Island,,,"-10.447525,105.690449"
CYM,Cayman Islands,,,"19.513469,-80.566956"
CYP,Cyprus,Republic of Cyprus,,"35.126413,33.429859"
CZE,Czechia,Czech Republic,,"49.817492,15.472962"
DEU,Germany,Federal Republic of Germany,,"51.165691,10.451526"
DJI,Djibouti,Republic of Djibouti,,"11.825138,42.590275"
DMA,Dominica,Commonwealth of Dominica,,"15.414999,-61.370976"
DNK,Denmark,Kingdom of Denmark,,"56.26392,9.501785"
DOM,Dominican Republic,,,"18.735693,-70.162651"
DZA,Algeria,People's Democratic Republic of Algeria,,"28.033886,1.659626"
ECU,Ecuador,Republic of Ecuador,,"-1.831239,-78.183406"
EGY,Egypt,Arab Republic of Egypt,,"26.820553,30.802498"
ERI,Eritrea,the State of Eritrea,,"15.179384,39.782334"
ESH,Western Sahara,,,"24.215527,-12.885834"
ESP,Spain,Kingdom of Spain,,"40.463667,-3.74922"
EST,Estonia,Republic of Estonia,,"58.595272,25.013607"
ETH,Ethiopia,Federal Democratic Republic of Ethiopia,,"9.145,40.489673"
FIN,Finland,Republic of Finland,,"61.92411,25.748151"
FJI,Fiji,Republic of Fiji,,"-16.578193,179.414413"
FLK,Falkland Islands (Malvinas),,,"-51.796253,-59.523613"
FRA,France,French Republic,,"46.227638,2.213749"
FRO,Faroe Islands,,,"61.892635,-6.911806"
FSM,"Micronesia, Federated States of",Federated States of Micronesia,,"7.425554,150.550812"
GAB,Gabon,Gabonese Republic,,"-0.803689,11.609444"
GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,,"55.378051,-3.435973"
GEO,Georgia,,,"42.315407,43.356892"
GGY,Guernsey,,,"49.465691,-2.585278"
GHA,Ghana,Republic of Ghana,,"7.946527,-1.023194"
GIB,Gibraltar,,,"36.137741,-5.345374"
GIN,Guinea,Republic of Guinea,,"9.945587,-9.696645"
GLP,Guadeloupe,,,"16.995971,-62.067641"
GMB,Gambia,Islamic Republic of the Gambia,,"13.443182,-15.310139"
GNB,Guinea-Bissau,Republic of Guinea-Bissau,,"11.803749,-15.180413"
GNQ,Equatorial Guinea,Republic of Equatorial Guinea,,"1.650801,10.267895"
GRC,Greece,Hellenic Republic,,"39.074208,21.824312"
GRD,Grenada,,,"12.262776,-61.604171"
GRL,Greenland,,,"71.706936,-42.604303"
GTM,Guatemala,Republic of Guatemala,,"15.783471,-90.230759"
GUF,French Guiana,,,"3.933889,-53.125782"
GUM,Guam,,,"13.444304,144.793731"
GUY,Guyana,Republic of Guyana,,"4.860416,-58.93018"
HKG,Hong Kong,Hong Kong Special Administrative Region of China,,"22.396428,114.109497"
HMD,Heard Island and McDonald Islands,,,"-53.08181,73.504158"
HND,Honduras,Republic of Honduras,,"15.199999,-86.241905"
HRV,Croatia,Republic of Croatia,,"45.1,15.2"
HTI,Haiti,Republic of Haiti,,"18.971187,-72.285215"
HUN,Hungary,,,"47.162494,19.503304"
IDN,Indonesia,Republic of Indonesia,,"-0.789275,113.921327"
IMN,Isle of Man,,,"54.236107,-4.548056"
IND,India,Republic of India,,"20.593684,78.96288"
IOT,British Indian Ocean Territory,,,"-6.343194,71.876519"
IRL,Ireland,,,"53.41291,-8.24389"
IRN,"Iran, Islamic Republic of",Islamic Republic of Iran,,"32.427908,53.688046"
IRQ,Iraq,Republic of Iraq,,"33.223191,43.679291"
ISL,Iceland,Republic of Iceland,,"64.963051,-19.020835"
ISR,Israel,State of Israel,,"31.046051,34.851612"
ITA,Italy,Italian Republic,,"41.87194,12.56738"
JAM,Jamaica,,,"18.109581,-77.297508"
JEY,Jersey,,,"49.214439,-2.13125"
JOR,Jordan,Hashemite Kingdom of Jordan,,"30.585164,36.238414"
JPN,Japan,,,"36.204824,138.252924"
KAZ,Kazakhstan,Republic of Kazakhstan,,"48.019573,66.923684"
KEN,Kenya,Republic of Kenya,,"-0.023559,37.906193"
KGZ,Kyrgyzstan,Kyrgyz Republic,,"41.20438,74.766098"
KHM,Cambodia,Kingdom of Cambodia,,"12.565679,104.990963"
KIR,Kiribati,Republic of Kiribati,,"-3.370417,-168.734039"
KNA,Saint Kitts and Nevis,,,"17.357822,-62.782998"
KOR,"Korea, Republic of",,,"35.907757,127.766922"
KWT,Kuwait,State of Kuwait,,"29.31166,47.481766"
LAO,Lao People's Democratic Republic,,,"19.85627,102.495496"
LBN,Lebanon,Lebanese Republic,,"33.854721,35.862285"
LBR,Liberia,Republic of Liberia,,"6.428055,-9.429499"
LBY,Libya,,,"26.3351,17.228331"
LCA,Saint Lucia,,,"13.909444,-60.978893"
LIE,Liechtenstein,Principality of Liechtenstein,,"47.166,9.555373"
LKA,Sri Lanka,Democratic Socialist Republic of Sri Lanka,,"7.873054,80.771797"
LSO,Lesotho,Kingdom of Lesotho,,"-29.609988,28.233608"
LTU,Lithuania,Republic of Lithuania,,"55.169438,23.881275"
LUX,Luxembourg,Grand Duchy of Luxembourg,,"49.815273,6.129583"
LVA,Latvia,Republic of Latvia,,"56.879635,24.603189"
MAC,Macao,Macao Special Administrative Region of China,,"22.198745,113.543873"
MAF,Saint Martin (French part),French Saint Martin,,"18.0826,-63.0523"
MAR,Morocco,Kingdom of Morocco,,"31.791702,-7.09262"
MCO,Monaco,Principality of Monaco,,"43.750298,7.412841"
MDA,"Moldova, Republic of",Republic of Moldova,Moldova,"47.411631,28.369885"
MDG,Madagascar,Republic of Madagascar,,"-18.766947,46.869107"
MDV,Maldives,Republic of Maldives,,"3.202778,73.22068"
MEX,Mexico,United Mexican States,,"23.634501,-102.552784"
MHL,Marshall Islands,Republic of the Marshall Islands,,"7.131474,171.184478"
MKD,"Macedonia, Republic of",The Former Yugoslav Republic of Macedonia,,"41.608635,21.745275"
MLI,Mali,Republic of Mali,,"17.570692,-3.996166"
MLT,Malta,Republic of Malta,,"35.937496,14.375416"
MMR,Myanmar,Republic of Myanmar,,"21.913965,95.956223"
MNE,Montenegro,,,"42.708678,19.37439"
MNG,Mongolia,,,"46.862496,103.846656"
MNP,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,,"17.33083,145.38469"
MOZ,Mozambique,Republic of Mozambique,,"-18.665695,35.529562"
MRT,Mauritania,Islamic Republic of Mauritania,,"21.00789,-10.940835"
MSR,Montserrat,,,"16.742498,-62.187366"
MTQ,Martinique,,,"14.641528,-61.024174"
MUS,Mauritius,Republic of Mauritius,,"-20.348404,57.552152"
MWI,Malawi,Republic of Malawi,,"-13.254308,34.301525"
MYS,Malaysia,,,"4.210484,101.975766"
MYT,Mayotte,,,"-12.8275,45.166244"
NAM,Namibia,Republic of Namibia,,"-22.95764,18.49041"
NCL,New Caledonia,,,"-20.904305,165.618042"
NER,Niger,Republic of the Niger,,"17.607789,8.081666"
NFK,Norfolk Island,,,"-29.040835,167.954712"
NGA,Nigeria,Federal Republic of Nigeria,,"9.081999,8.675277"
NIC,Nicaragua,Republic of Nicaragua,,"12.865416,-85.207229"
NIU,Niue,,,"-19.054445,-169.867233"
NLD,Netherlands,Kingdom of the Netherlands,,"52.132633,5.291266"
NOR,Norway,Kingdom of Norway,,"60.472024,8.468946"
NPL,Nepal,Federal Democratic Republic of Nepal,,"28.394857,84.124008"
NRU,Nauru,Republic of Nauru,,"-0.522778,166.931503"
NZL,New Zealand,,,"-40.900557,174.885971"
OMN,Oman,Sultanate of Oman,,"21.512583,55.923255"
PAK,Pakistan,Islamic Republic of Pakistan,,"30.375321,69.345116"
PAN,Panama,Republic of Panama,,"8.537981,-80.782127"
PCN,Pitcairn,,,"-24.703615,-127.439308"
PER,Peru,Republic of Peru,,"-9.189967,-75.015152"
PHL,Philippines,Republic of the Philippines,,"12.879721,121.774017"
PLW,Palau,Republic of Palau,,"7.51498,134.58252"
PNG,Papua New Guinea,Independent State of Papua New Guinea,,"-6.314993,143.95555"
POL,Poland,Republic of Poland,,"51.919438,19.145136"
PRI,Puerto Rico,,,"18.220833,-66.590149"
PRK,"Korea, Democratic People's Republic of",Democratic People's Republic of Korea,,"40.339852,127.510093"
PRT,Portugal,Portuguese Republic,,"39.399872,-8.224454"
PRY,Paraguay,Republic of Paraguay,,"-23.442503,-58.443832"
PSE,"Palestine, State of",the State of Palestine,,"31.952162,35.233154"
PYF,French Polynesia,,,"-17.679742,-149.406843"
QAT,Qatar,State of Qatar,,"25.354826,51.183884"
REU,Réunion,,,"-21.115141,55.536384"
ROU,Romania,,,"45.943161,24.96676"
RUS,Russian Federation,,,"61.52401,105.318756"
RWA,Rwanda,Rwandese Republic,,"-1.940278,29.873888"
SAU,Saudi Arabia,Kingdom of Saudi Arabia,,"23.885942,45.079162"
SDN,Sudan,Republic of the Sudan,,"12.862807,30.217636"
SEN,Senegal,Republic of Senegal,,"14.497401,-14.452362"
SGP,Singapore,Republic of Singapore,,"1.352083,103.819836"
SGS,South Georgia and the South Sandwich Islands,,,"-54.429579,-36.587909"
SHN,"Saint Helena, Ascension and Tristan da Cunha",,,"-24.143474,-10.030696"
SJM,Svalbard and Jan Mayen,,,"77.553604,23.670272"
SLB,Solomon Islands,,,"-9.64571,160.156194"
SLE,Sierra Leone,Republic of Sierra Leone,,"8.460555,-11.779889"
SLV,El Salvador,Republic of El Salvador,,"13.794185,-88.89653"
SMR,San Marino,Republic of San Marino,,"43.94236,12.457777"
SOM,Somalia,Federal Republic of Somalia,,"5.152149,46.199616"
SPM,Saint Pierre and Miquelon,,,"46.941936,-56.27111"
SRB,Serbia,Republic of Serbia,,"44.016521,21.005859"
SSD,South Sudan,Republic of South Sudan,,"6.877,31.307"
STP,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,,"0.18636,6.613081"
SUR,Suriname,Republic of Suriname,,"3.919305,-56.027783"
SVK,Slovakia,Slovak Republic,,"48.669026,19.699024"
SVN,Slovenia,Republic of Slovenia,,"46.151241,14.995463"
SWE,Sweden,Kingdom of Sweden,,"60.128161,18.643501"
SWZ,Swaziland,Kingdom of Swaziland,,"-26.522503,31.465866"
SXM,Sint Maarten (Dutch part),Dutch Saint Martin,,"18.0425,-63.0548"
SYC,Seychelles,Republic of Seychelles,,"-4.679574,55.491977"
SYR,Syrian Arab Republic,,,"34.802075,38.996815"
TCA,Turks and Caicos Islands,,,"21.694025,-71.797928"
TCD,Chad,Republic of Chad,,"15.454166,18.732207"
TGO,Togo,Togolese Republic,,"8.619543,0.824782"
THA,Thailand,Kingdom of Thailand,,"15.870032,100.992541"
TJK,Tajikistan,Republic of Tajikistan,,"38.861034,71.276093"
TKL,Tokelau,,,"-8.967363,-171.855881"
TKM,Turkmenistan,,,"38.969719,59.556278"
TLS,Timor-Leste,Democratic Republic of Timor-Leste,,"-8.874217,125.727539"
TON,Tonga,Kingdom of Tonga,,"-21.178986,-175.198242"
TTO,Trinidad and Tobago,Republic of Trinidad and Tobago,,"10.691803,-61.222503"
TUN,Tunisia,Republic of Tunisia,,"33.886917,9.537499"
TUR,Turkey,Republic of Turkey,,"38.963745,35.243322"
TUV,Tuvalu,,,"-7.109535,177.64933"
TWN,"Taiwan, Province of China",,Taiwan,"23.69781,120.960515"
TZA,"Tanzania, United Republic of",United Republic of Tanzania,Tanzania,"-6.369028,34.888822"
UGA,Uganda,Republic of Uganda,,"1.373333,32.290275"
UKR,Ukraine,,,"48.379433,31.16558"
UMI,United States Minor Outlying Islands,,,"19.2823,166.647"
URY,Uruguay,Eastern Republic of Uruguay,,"-32.522779,-55.765835"
USA,United States,United States of America,,"37.09024,-95.712891"
UZB,Uzbekistan,Republic of Uzbekistan,,"41.377491,64.585262"
VAT,Holy See (Vatican City State),,,"41.902916,12.453389"
VCT,Saint Vincent and the Grenadines,,,"12.984305,-61.287228"
VEN,"Venezuela, Bolivarian Republic of",Bolivarian Republic of Venezuela,Venezuela,"6.42375,-66.58973"
VGB,"Virgin Islands, British",British Virgin Islands,,"18.420695,-64.639968"
VIR,"Virgin Islands, U.S.",Virgin Islands of the United States,,"18.335765,-64.896335"
VNM,Viet Nam,Socialist Republic of Viet Nam,,"14.058324,108.277199"
VUT,Vanuatu,Republic of Vanuatu,,"-15.376706,166.959158"
WLF,Wallis and Futuna,,,"-13.768752,-177.156097"
WSM,Samoa,Independent State of Samoa,,"-13.759029,-172.104629"
XKS,Kosovo,,,"42.602636,20.902977"
YEM,Yemen,Republic of Yemen,,"15.552727,48.516388"
ZAF,South Africa,Republic of South Africa,,"-30.559482,22.937506"
ZMB,Zambia,Republic of Zambia,,"-13.133897,27.849332"
ZWE,Zimbabwe,Republic of Zimbabwe,,"-19.015438,29.154857"
XXX,Unknown,,,
